Geo Point;Geo Shape;GR_ID;GR_NOM;ZDL_ID;ZDL_NOM;LDA_ID;LDA_NOM;GARE_NOM;INSEE_TXT;COMM_NOM;DPT_ID;ACCES_PMR
48.9461700633,2.25762285656;"{""type"": ""Polygon"", ""coordinates"": [[[2.258416899005436, 48.945584854719584], [2.257857859602256, 48.94539297002872], [2.257026762782544, 48.946609579010726], [2.256812611819509, 48.94685610214055], [2.25720118478017, 48.94697511464051], [2.257264247929148, 48.9469085283298], [2.25731870996431, 48.946923748938914], [2.258416899005436, 48.945584854719584]]]}";22;Argenteuil;47875;Argenteuil (Gare);65063;Argenteuil (Gare);ARGENTEUIL;95018;Argenteuil;95;Partielle
48.9629449202,2.51174746579;"{""type"": ""Polygon"", ""coordinates"": [[[2.512002581271673, 48.96229383416206], [2.512002704846361, 48.96232912126894], [2.511281686925847, 48.963478104077836], [2.511477278470536, 48.96351724593667], [2.511697118298191, 48.96328027619224], [2.512073230820834, 48.962661131942596], [2.512116096942369, 48.96230196306545], [2.512002581271673, 48.96229383416206]]]}";866;Villepinte;58793;Villepinte (Gare);73547;Villepinte (Gare);VILLEPINTE;93078;Villepinte;93;
49.047131473,2.09610654914;"{""type"": ""Polygon"", ""coordinates"": [[[2.095893979968479, 49.047403575632806], [2.09593533809315, 49.04740366300852], [2.096625522101225, 49.04719961424337], [2.096447040586099, 49.04688788073659], [2.095427252883471, 49.04707725342213], [2.095463893350264, 49.047175730505174], [2.095774286601429, 49.04712051465098], [2.095893979968479, 49.047403575632806]]]}";649;Pontoise (nord-Charles de Gaulle);44411;Pontoise Gare (Général de Gaulle);66816;Pontoise (Gare);PONTOISE;95500;Pontoise;95;Non
48.9375802171,2.15842296635;"{""type"": ""Polygon"", ""coordinates"": [[[2.157477523128772, 48.93829461126689], [2.159514683699507, 48.937232248750284], [2.159062159240897, 48.93689942860043], [2.157727128885767, 48.937813433327726], [2.157221994243472, 48.93808940455555], [2.157477523128772, 48.93829461126689]]]}";773;Sartrouville;43191;Sartrouville (Gare);64918;Sartrouville (Gare);SARTROUVILLE;78586;Sartrouville;78;Oui
48.8075101526,2.03985708572;"{""type"": ""Polygon"", ""coordinates"": [[[2.040188126805589, 48.80740927253187], [2.040167145046718, 48.80737068684426], [2.03935326362271, 48.807493499313374], [2.039380945355937, 48.80759398627195], [2.040301920327481, 48.80759521801652], [2.040188126805589, 48.80740927253187]]]}";275;Fonteny-le-Fleury;47884;Fontenay-le-Fleury (Gare);63999;Fontenay-le-Fleury (Gare);FONTENAY-LE-FLEURY;78242;Fontenay-le-Fleury;78;
48.9800761993,2.27152231797;"{""type"": ""Polygon"", ""coordinates"": [[[2.270639670306031, 48.980006805334064], [2.270644046846121, 48.98027146260565], [2.272129420637001, 48.98022560646635], [2.272347455139079, 48.97988790576658], [2.2719289492389, 48.97979426179437], [2.271462768431242, 48.97998392555438], [2.270639670306031, 48.980006805334064]]]}";251;Ermont-Eaubonne;47898;Ermont Eaubonne (Gare);65669;Ermont Eaubonne (Gare);ERMONT-EAUBONNE;95219;Ermont;95;Oui
49.0329098213,2.69907916256;"{""type"": ""Polygon"", ""coordinates"": [[[2.698723114661024, 49.03275406574], [2.699092842847618, 49.03323654595508], [2.699134094998246, 49.0332654761208], [2.699181584591702, 49.03328400759465], [2.699238392666776, 49.033281751768385], [2.699285730397629, 49.03327952615218], [2.699342493838224, 49.03327104334427], [2.699395947606028, 49.033241814438995], [2.699439811055933, 49.033196008503786], [2.699448794767371, 49.03312955641073], [2.699152308986643, 49.03273402627037], [2.699059016245581, 49.032495610403764], [2.698828976340781, 49.032552383442294], [2.698723114661024, 49.03275406574]]]}";213;Dammartin - Juilly - Saint-Mard;46736;Dammartin Juilly Saint-Mard;69254;Dammartin Juilly Saint-Mard;DAMMARTIN-JUILLY-SAINT-MARD;77420;Saint-Mard;77;Partielle
48.885766826,2.29248853505;"{""type"": ""Polygon"", ""coordinates"": [[[2.292411162551167, 48.88604428937965], [2.293052107909002, 48.885611058045406], [2.293064666852916, 48.885544513180925], [2.292189930203425, 48.885676114048074], [2.291906116850282, 48.88572173454492], [2.292411162551167, 48.88604428937965]]]}";659;Porte de Champerret;44511;Porte de Champerret;71450;Porte de Champerret;PORTE DE CHAMPERRET;75117;Paris 17e;75;Partielle
48.9070865855,2.44960493827;"{""type"": ""Polygon"", ""coordinates"": [[[2.449097882237171, 48.90754941686697], [2.449277646601822, 48.90754881629219], [2.449282370606649, 48.90751171935586], [2.449936471936163, 48.90750758617795], [2.449977524073908, 48.907492309404375], [2.450125281862923, 48.907386300084774], [2.450141366639843, 48.906649774939325], [2.449667052471877, 48.906651880057716], [2.449638596995008, 48.906680302151564], [2.449169579658351, 48.906685644642565], [2.449095606675176, 48.90674136063217], [2.449068833612432, 48.90681547485817], [2.449097882237171, 48.90754941686697]]]}";70;Métro Bobigny-Pablo-Picasso;42345;Bobigny Pablo Picasso;72486;Bobigny Pablo Picasso (Gare);BOBIGNY-PABLO PICASSO;93008;Bobigny;93;Non
48.9939199271,2.41736958474;"{""type"": ""Polygon"", ""coordinates"": [[[2.416678936019085, 48.99332994441668], [2.416574523353205, 48.99340507658783], [2.416552489848721, 48.99343415223003], [2.416552556635823, 48.99347566649652], [2.416568394475247, 48.99351717021931], [2.417951515313917, 48.99443782559456], [2.418036738455574, 48.99447097724994], [2.418166040111492, 48.99445220337162], [2.418260571391818, 48.994389864803196], [2.416678936019085, 48.99332994441668]]]}";870;Villiers-le-Bel-Gonesse-Arnouville (sud);43222;Villiers-le-Bel Gonesse Arnouville;66009;Villiers-le-Bel Gonesse Arnouville;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;95019;Arnouville;95;Oui
